numero,aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,outcomedesc,minoritydesc,tooltp,buttonn
1506,0.68,0.65,0.72,<0.001,0,0,2,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1507,0.63,0.59,0.67,<0.001,0,1,2,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1508,0.85,0.67,1.08,0.191,0.1911,2,2,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value 0.191",O2A2M2
1509,0.77,0.65,0.9,0.002,0.0016,3,2,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value 0.002",O2A2M3
1510,0.78,0.71,0.85,<0.001,0,4,2,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1511,0.7,0.66,0.74,<0.001,0,0,3,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1512,0.66,0.61,0.7,<0.001,0,1,3,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1513,0.8,0.62,1.02,0.075,0.0747,2,3,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value 0.075",O2A3M2
1514,0.74,0.62,0.88,<0.001,5.00E-04,3,3,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1515,0.79,0.71,0.87,<0.001,0,4,3,1,11,2,"Prior transplant, yes",Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1516,0.46,0.45,0.47,<0.001,0,0,1,0,12,2,Not for profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1517,0.41,0.4,0.42,<0.001,0,1,1,0,12,2,Not for profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1518,0.71,0.65,0.77,<0.001,0,2,1,0,12,2,Not for profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1519,0.52,0.49,0.56,<0.001,0,3,1,0,12,2,Not for profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1520,0.56,0.54,0.58,<0.001,0,4,1,0,12,2,Not for profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1521,0.52,0.5,0.53,<0.001,0,0,2,0,12,2,Not for profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1522,0.47,0.45,0.48,<0.001,0,1,2,0,12,2,Not for profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1523,0.82,0.75,0.89,<0.001,0,2,2,0,12,2,Not for profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1524,0.53,0.5,0.56,<0.001,0,3,2,0,12,2,Not for profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1525,0.63,0.6,0.65,<0.001,0,4,2,0,12,2,Not for profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1526,0.6,0.59,0.62,<0.001,0,0,3,0,12,2,Not for profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1527,0.57,0.55,0.59,<0.001,0,1,3,0,12,2,Not for profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1528,0.67,0.61,0.73,<0.001,0,2,3,0,12,2,Not for profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1529,0.57,0.53,0.61,<0.001,0,3,3,0,12,2,Not for profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1530,0.72,0.69,0.76,<0.001,0,4,3,0,12,2,Not for profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1531,0.43,0.43,0.44,<0.001,0,0,1,1,12,2,For profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1532,0.39,0.39,0.4,<0.001,0,1,1,1,12,2,For profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1533,0.64,0.61,0.68,<0.001,0,2,1,1,12,2,For profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1534,0.49,0.47,0.51,<0.001,0,3,1,1,12,2,For profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1535,0.5,0.49,0.51,<0.001,0,4,1,1,12,2,For profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1536,0.48,0.47,0.48,<0.001,0,0,2,1,12,2,For profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1537,0.44,0.43,0.45,<0.001,0,1,2,1,12,2,For profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1538,0.76,0.72,0.81,<0.001,0,2,2,1,12,2,For profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1539,0.48,0.46,0.5,<0.001,0,3,2,1,12,2,For profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1540,0.55,0.54,0.56,<0.001,0,4,2,1,12,2,For profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1541,0.56,0.55,0.57,<0.001,0,0,3,1,12,2,For profit unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1542,0.5,0.49,0.51,<0.001,0,1,3,1,12,2,For profit unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1543,0.76,0.71,0.8,<0.001,0,2,3,1,12,2,For profit unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1544,0.55,0.53,0.57,<0.001,0,3,3,1,12,2,For profit unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1545,0.71,0.7,0.73,<0.001,0,4,3,1,12,2,For profit unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1546,0.43,0.41,0.44,<0.001,0,0,1,0,13,2,Hospital-based unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1547,0.38,0.36,0.39,<0.001,0,1,1,0,13,2,Hospital-based unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1548,0.64,0.57,0.71,<0.001,0,2,1,0,13,2,Hospital-based unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1549,0.48,0.44,0.52,<0.001,0,3,1,0,13,2,Hospital-based unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1550,0.52,0.49,0.55,<0.001,0,4,1,0,13,2,Hospital-based unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1551,0.48,0.47,0.5,<0.001,0,0,2,0,13,2,Hospital-based unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1552,0.42,0.41,0.44,<0.001,0,1,2,0,13,2,Hospital-based unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1553,0.74,0.67,0.83,<0.001,0,2,2,0,13,2,Hospital-based unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1554,0.5,0.46,0.54,<0.001,0,3,2,0,13,2,Hospital-based unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1555,0.59,0.56,0.63,<0.001,0,4,2,0,13,2,Hospital-based unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1556,0.59,0.57,0.61,<0.001,0,0,3,0,13,2,Hospital-based unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1557,0.54,0.52,0.57,<0.001,0,1,3,0,13,2,Hospital-based unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1558,0.65,0.58,0.73,<0.001,0,2,3,0,13,2,Hospital-based unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1559,0.55,0.5,0.6,<0.001,0,3,3,0,13,2,Hospital-based unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1560,0.75,0.7,0.8,<0.001,0,4,3,0,13,2,Hospital-based unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1561,0.43,0.42,0.44,<0.001,0,0,1,1,13,2,Independent unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1562,0.4,0.39,0.41,<0.001,0,1,1,1,13,2,Independent unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1563,0.66,0.58,0.74,<0.001,0,2,1,1,13,2,Independent unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1564,0.46,0.43,0.49,<0.001,0,3,1,1,13,2,Independent unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1565,0.47,0.45,0.49,<0.001,0,4,1,1,13,2,Independent unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1566,0.47,0.46,0.48,<0.001,0,0,2,1,13,2,Independent unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1567,0.44,0.43,0.45,<0.001,0,1,2,1,13,2,Independent unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1568,0.76,0.67,0.87,<0.001,0,2,2,1,13,2,Independent unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1569,0.46,0.42,0.49,<0.001,0,3,2,1,13,2,Independent unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1570,0.51,0.49,0.53,<0.001,0,4,2,1,13,2,Independent unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1571,0.58,0.56,0.6,<0.001,0,0,3,1,13,2,Independent unit,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1572,0.52,0.5,0.54,<0.001,0,1,3,1,13,2,Independent unit,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1573,0.69,0.61,0.79,<0.001,0,2,3,1,13,2,Independent unit,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1574,0.57,0.53,0.61,<0.001,0,3,3,1,13,2,Independent unit,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1575,0.71,0.68,0.75,<0.001,0,4,3,1,13,2,Independent unit,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1576,0.47,0.45,0.5,<0.001,0,0,1,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1577,0.38,0.36,0.41,<0.001,0,1,1,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1578,0.9,0.64,1.26,0.53,0.5301,2,1,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value 0.53",O2A1M2
1579,0.55,0.49,0.61,<0.001,0,3,1,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1580,0.65,0.6,0.7,<0.001,0,4,1,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1581,0.52,0.5,0.55,<0.001,0,0,2,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1582,0.43,0.4,0.46,<0.001,0,1,2,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1583,1.04,0.74,1.46,0.825,0.8248,2,2,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value 0.825",O2A2M2
1584,0.54,0.49,0.6,<0.001,0,3,2,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1585,0.72,0.67,0.78,<0.001,0,4,2,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1586,0.57,0.54,0.6,<0.001,0,0,3,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1587,0.49,0.46,0.52,<0.001,0,1,3,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1588,1.02,0.72,1.44,0.925,0.9247,2,3,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value 0.925",O2A3M2
1589,0.57,0.5,0.64,<0.001,0,3,3,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1590,0.77,0.71,0.84,<0.001,0,4,3,2,13,2,Chain of 2-99 units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1591,0.44,0.43,0.44,<0.001,0,0,1,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1592,0.4,0.39,0.4,<0.001,0,1,1,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1593,0.66,0.62,0.7,<0.001,0,2,1,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1594,0.51,0.49,0.53,<0.001,0,3,1,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1595,0.51,0.5,0.52,<0.001,0,4,1,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1596,0.48,0.48,0.49,<0.001,0,0,2,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1597,0.45,0.44,0.45,<0.001,0,1,2,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1598,0.78,0.73,0.83,<0.001,0,2,2,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1599,0.5,0.48,0.52,<0.001,0,3,2,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1600,0.56,0.54,0.57,<0.001,0,4,2,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1601,0.56,0.56,0.57,<0.001,0,0,3,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1602,0.51,0.5,0.52,<0.001,0,1,3,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1603,0.77,0.73,0.82,<0.001,0,2,3,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1604,0.56,0.53,0.58,<0.001,0,3,3,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1605,0.71,0.69,0.73,<0.001,0,4,3,3,13,2,Chain of 100 or more units,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1606,0.43,0.43,0.44,<0.001,0,0,1,0,14,2,Medicare parts A or B,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1607,0.4,0.39,0.4,<0.001,0,1,1,0,14,2,Medicare parts A or B,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1608,0.66,0.62,0.69,<0.001,0,2,1,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O2A1M2
1609,0.46,0.44,0.48,<0.001,0,3,1,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1610,0.5,0.49,0.51,<0.001,0,4,1,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1611,0.48,0.47,0.48,<0.001,0,0,2,0,14,2,Medicare parts A or B,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1612,0.44,0.44,0.45,<0.001,0,1,2,0,14,2,Medicare parts A or B,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1613,0.77,0.73,0.81,<0.001,0,2,2,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O2A2M2
1614,0.46,0.45,0.48,<0.001,0,3,2,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1615,0.56,0.54,0.57,<0.001,0,4,2,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
1616,0.56,0.55,0.56,<0.001,0,0,3,0,14,2,Medicare parts A or B,Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A3M0
1617,0.51,0.5,0.52,<0.001,0,1,3,0,14,2,Medicare parts A or B,Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O2A3M1
1618,0.73,0.69,0.77,<0.001,0,2,3,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O2A3M2
1619,0.52,0.5,0.55,<0.001,0,3,3,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O2A3M3
1620,0.7,0.69,0.72,<0.001,0,4,3,0,14,2,Medicare parts A or B,Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O2A3M4
1621,0.59,0.55,0.63,<0.001,0,0,1,1,14,2,"Medicare primary, other",Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A1M0
1622,0.5,0.45,0.55,<0.001,0,1,1,1,14,2,"Medicare primary, other",Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O2A1M1
1623,0.96,0.76,1.21,0.73,0.7302,2,1,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 1, Native American (Vs. White), P-Value 0.73",O2A1M2
1624,0.76,0.67,0.85,<0.001,0,3,1,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O2A1M3
1625,0.59,0.53,0.65,<0.001,0,4,1,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O2A1M4
1626,0.56,0.52,0.6,<0.001,0,0,2,1,14,2,"Medicare primary, other",Dialysis Withdrawal,"All Minority Groups, Combined","Dialysis Withdrawal, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O2A2M0
1627,0.51,0.46,0.56,<0.001,0,1,2,1,14,2,"Medicare primary, other",Dialysis Withdrawal,African American or Black,"Dialysis Withdrawal, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O2A2M1
1628,0.97,0.76,1.23,0.801,0.8014,2,2,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Native American,"Dialysis Withdrawal, Adjustment Model 2, Native American (Vs. White), P-Value 0.801",O2A2M2
1629,0.64,0.56,0.72,<0.001,0,3,2,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Asian,"Dialysis Withdrawal, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O2A2M3
1630,0.54,0.48,0.6,<0.001,0,4,2,1,14,2,"Medicare primary, other",Dialysis Withdrawal,Hispanic,"Dialysis Withdrawal, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O2A2M4
